"","IGF2R"
"H6PD",0.838004678894275
"STAT3",0.815428604202064
"EIF4G1",0.788827809172628
"PCBP1",0.787146692852769
"EIF4EBP1",0.781276286954911
"SLC38A2",0.774767652655348
"BFAR",0.774666168589246
"NPLOC4",0.763059936328101
"FLII",0.761612011013104
"PABPC4",0.757144937537813
"PPRC1",0.755716759829421
"DPP9",0.753338471010426
"GNG5",0.748048730442337
"SLC35A4",0.748000698547484
"TNFRSF1A",0.745358944330563
"FKBP5",0.744830593487179
"RBM7",0.744325144254426
"GRWD1",0.7424446268119
"MCMBP",0.740404484798619
"CTDSP2",0.735722198075664
"PPFIBP1",0.734833586685418
"ZBTB16",0.733571922466092
"HMCN1",0.733251664470433
"NNMT",0.73198031537725
"EPHB4",0.731764151089338
"TMEM109",0.731759471605647
"ADH1B",0.729399349364299
"KLF10",0.727729084381654
"HBP1",0.727482353713767
"CEBPB",0.727237810298024
"TRIP10",0.726338313968731
"SLC38A4",0.724716640638885
"SLC29A1",0.722938749266209
"CUL4A",0.722180867658588
"ADAMTSL4",0.722140815505382
"RXRA",0.721045307002353
"IFRD2",0.720194076124422
"AGTR1",0.71901204736174
"EIF3B",0.718886614709109
"C1RL",0.716368450139186
"CXCL12",0.716172747490249
"CTDSP1",0.7158193289959
"CHMP6",0.715514140581458
"FPGS",0.714844986318044
"RAF1",0.714573939600274
"ARAF",0.714069568373748
"FHOD1",0.713568568545233
"ECHDC3",0.713064160980286
"ESYT2",0.712021146126741
"PELO",0.711817990384389
"RBFA",0.710655268460786
"PTGIR",0.709807189975424
"GPR157",0.709405407247867
"RELA",0.708984813738364
"KLF11",0.708956842237145
"TXNIP",0.708086193924549
"PNRC1",0.708038162029696
"FZD4",0.706990152149061
"NFKBIA",0.706501141394397
"LILRB5",0.706363305373087
"MYC",0.706277939577238
"SZRD1",0.705608272252029
"MKNK1",0.70441717415262
"ZDHHC7",0.703540055834318
"INTS5",0.7022293766814
"CNBP",0.701522667813218
"THBD",0.701395409905663
"COQ2",0.701073770890977
"IMPA2",0.700989583106718
"PCMTD1",0.700413131162413
"PLIN2",0.700067262418284
"TNIP1",0.696063613542184
"AFAP1L1",0.695921809537998
"WDR26",0.694944167381721
"CCDC69",0.694750008028099
"CISH",0.694451117784363
"LTBR",0.694070194181063
"GBP2",0.691836603812578
"SPSB1",0.691795975568633
"EIF3G",0.691323062620814
"NRP1",0.69065061609287
"FBH1",0.68875222296383
"POLG",0.687819763325074
"ANGPTL1",0.687723685693655
"AMHR2",0.686397041778517
"FAM180A",0.68626121328814
"G0S2",0.685943490397266
"LPCAT3",0.68520921113135
"LMNA",0.684070246497994
"LATS2",0.683384979315145
"MAVS",0.68329129306593
"CITED2",0.683253704285491
"CD55",0.682951441016153
"VCP",0.682693712949625
"TEAD4",0.682458079872916
"GHR",0.681154204376878
"ARHGEF15",0.680885821549058
"PRICKLE3",0.680565291950638
"AHNAK",0.680100886278455
"HIPK3",0.679525368240236
"PNPLA2",0.67921902511783
"STK40",0.679187300436762
"TNKS1BP1",0.678891386515662
"PABIR1",0.678827268514176
"DCAF5",0.678387027400198
"ZFP36",0.678354451010474
"RREB1",0.67788060498495
"NOM1",0.677724115575607
"DDX23",0.677644065077665
"BRI3",0.676329334073538
"FOXO1",0.676225488333922
"MAPKAPK2",0.676225488333922
"KLF9",0.674632541994894
"YBX3",0.674175676158254
"DEDD",0.673416446224959
"DELE1",0.673319419144818
"AKT1",0.672903269218233
"PDLIM1",0.672590623628101
"CD93",0.672414640651643
"JUN",0.672054392790732
"DLST",0.671678017625892
"MGAT1",0.670989760373388
"NUCB1",0.670397252630544
"CCL14",0.669997130246345
"HPS6",0.669765996099405
"NAMPT",0.669052327283144
"TGFBR3",0.66884428172857
"CPED1",0.668428135291244
"TRIOBP",0.668427897657566
"SRSF4",0.667883574630425
"PIGW",0.66785287576977
"TNS1",0.667587319315441
"ABCA6",0.667563415840673
"IMPDH2",0.667547274668524
"PRXL2C",0.666970981361467
"PSME1",0.666554608780831
"TCEA3",0.666050261775556
"ARHGAP17",0.665946169218745
"MRPS30",0.665665557707938
"MMRN2",0.665065104308709
"AMMECR1L",0.664864502842287
"ABCD1",0.664681017672104
"CD36",0.664657303380035
"HSPG2",0.664496918298232
"USP53",0.664328958367289
"MYO1C",0.663560627395716
"CAST",0.663224404131745
"CFD",0.662952130171725
"BLVRB",0.662648021393507
"HLX",0.66212711452811
"PEAR1",0.661517765103077
"ECH1",0.661222940439354
"P4HB",0.661014936968501
"RPF2",0.660365580147236
"PPP1R3B",0.660245953200172
"LIMD1",0.659875072257383
"PHACTR4",0.65882833804454
"JAK1",0.658780874875501
"ALG3",0.657307563030883
"FOSL2",0.656947999156548
"CYYR1",0.65634533637328
"CCDC71",0.656289036225617
"OSER1",0.656147192118296
"YTHDF3",0.656033054069988
"LBP",0.655254165826511
"OLFML2A",0.654696999893544
"TNIP2",0.654577781321117
"NFIL3",0.654369926663803
"CD300LG",0.65378372349188
"CSRNP1",0.653297487499321
"ENGASE",0.653031325074136
"OXA1L",0.652897546738326
"SRPX2",0.652405775008671
"PER1",0.652129036420676
"AKAP13",0.652054865029535
"BRD4",0.651654904206557
"UBE2B",0.650797466493495
"RRP9",0.650598393140388
"TMEM150A",0.650574056810984
"ACSS2",0.650558433597197
"FBLN5",0.650511570708279
"SERBP1",0.65049595199567
"NPR1",0.649753755441289
"LTV1",0.649726210475484
"DNAJB12",0.649674490302052
"C1R",0.649598942793972
"ZBTB42",0.649073555887791
"GALNT2",0.648973228819179
"RPS6KB2",0.648926480120273
"RAB1B",0.648173514673813
"WHAMM",0.648004443905744
"DPH2",0.647727275718122
"RBCK1",0.647621121356876
"RPS16",0.647566006409631
"MLXIP",0.647508115312222
"LIMS1",0.647492566472297
"GUCD1",0.647453001651721
"NMD3",0.646837042526991
"TBC1D15",0.646319784760258
"PLSCR3",0.645662671048967
"ANO6",0.645282940146564
"HECTD1",0.644763086369245
"ZNF277",0.64475744968903
"GCN1",0.644638224272125
"TRAF6",0.644127285524969
"UBAP2",0.644123585522739
"MAP3K20",0.643802402339789
"RNF139",0.643701675299238
"DUSP1",0.643627391031676
"MYH9",0.643594811778796
"BICC1",0.643546995091478
"TMEM140",0.643500612768861
"SQSTM1",0.643002976398585
"BCL3",0.642874316056975
"PMF1",0.642464281927617
"MUL1",0.6424059011179
"ADAMTSL3",0.641997283160549
"RPS15A",0.641706115237551
"AKAP8",0.641692089834185
"NFIC",0.641658083342698
"FNDC3B",0.641206712716017
"NKIRAS2",0.641189472598263
"GYPC",0.641129732499314
"GTF2IRD2B",0.641117412644049
"FTSJ3",0.640377639697597
"EIF5A",0.639848234025326
"INPPL1",0.639776184453144
"FHL3",0.639612811760839
"GNL3",0.639309225066011
"BCKDK",0.639199787875687
"USP38",0.639077204713197
"PSMD3",0.638726114201724
"ELOA",0.638550355732018
"NID1",0.638383226057623
"TNNT3",0.638289695668145
"RNF31",0.638195666697416
"RPL10",0.638055691228715
"CCN5",0.638019766498419
"RPL29",0.63767143606989
"CRTC2",0.637481685976964
"TMEM161A",0.637291643260941
"PRR33",0.63721453046266
"CAT",0.637191117121359
"CAV2",0.636758830067681
"GIPC2",0.636263290501178
"MLX",0.636186777034355
"BTF3",0.635990319750031
"FGD5",0.635968390592189
"TINAGL1",0.635924793298252
"PLEKHF1",0.635920349468863
"PHB2",0.635702128380912
"RPUSD4",0.635638617493444
"CAVIN2",0.635044929213185
"ABCB7",0.634917966024308
"TLN1",0.634789522378703
"EIF3A",0.634747955362169
"HDAC3",0.634715162066968
"TMEM43",0.634156317822939
"BCL6",0.634036235202635
"KLHL20",0.633978764004726
"CDH5",0.633865746919576
"ZBTB7B",0.633826508001184
"WBP1L",0.633571117426086
"RIPOR3",0.633334937588912
"SLC8B1",0.633206026000933
"PPP1R14B",0.633204469848551
"AP5B1",0.633096293524868
"COQ8A",0.633016291340674
"PDK4",0.632979508143964
"ZFP36L1",0.632964310374285
"NFKB2",0.632256523887345
"PKDCC",0.632236368733463
"ZNF330",0.63188107612744
"FCN3",0.631621944350128
"SRRM2",0.631571385423545
"SLC19A2",0.631434817256818
"CCL16",0.631389494499833
"RPL7A",0.63118713026472
"ERG",0.631026448090974
"ECE1",0.630769987930379
"EEF2",0.630754843211042
"NLRX1",0.630482825613496
"PSMA7",0.629506013944861
"BCL6B",0.629434797819827
"SLC43A3",0.629416158998689
"VPS26C",0.629395660091867
"PHLDB2",0.629254242110794
"EFNB1",0.629232930390494
"NPR3",0.629225640191024
"SPRY1",0.62907991958838
"NOP16",0.628950919478098
"ADRB2",0.628855577976362
"DBR1",0.628712917762749
"TBC1D4",0.628608500764915
"PTPN14",0.628555643878685
"MCL1",0.62840128036324
"CARS2",0.628258419351687
"DOCK6",0.628194660854963
"FAT4",0.628134071382685
"SERPING1",0.62763277004559
"NHEJ1",0.627471234176571
"MAP3K3",0.627224906146822
"CCN1",0.626768195938234
"MEOX1",0.626583919533941
"IRF2BP2",0.626525134055282
"BCL9L",0.626492142876368
"ESYT1",0.626365987205167
"RANBP10",0.625952002209899
"PLEKHH3",0.62578662320584
"PLAGL1",0.625372285537508
"LAMB2",0.625102088252052
"SLC10A3",0.624921945289381
"HSD3B7",0.624852867172044
"PPTC7",0.624798829418849
"RPS2",0.62470282445955
"HEBP2",0.624540687549201
"NEDD4",0.624516478883703
"FABP4",0.62445656540457
"EIF2D",0.623895083586847
"RRP36",0.623772140325636
"DBT",0.623501719089041
"AMOTL1",0.622841368236082
"IGFBP4",0.622667353691762
"STEAP4",0.622405345945232
"SLC25A3",0.622397293506601
"MMP19",0.62237994867151
"CARD6",0.622264395884265
"ASPN",0.622246779881944
"POR",0.621970857770407
"NEXN",0.621306750656954
"F2R",0.6210243105602
"AOX1",0.620982079225394
"FASTKD2",0.620982079225394
"TSC22D3",0.620908304766155
"WNT11",0.620526473859894
"MYL12A",0.62052404960733
"SGCA",0.620494965811496
"RPS5",0.620476017712477
"ARNT",0.620447775535697
"OSMR",0.620355025511175
"DDX54",0.619896255078081
"MAF1",0.619001891140633
"ITGA1",0.618909189713004
"PALMD",0.61885088679185
"EHBP1L1",0.618845181043159
"TMEM204",0.618815459592668
"FLAD1",0.618787985150878
"RNF122",0.618559177674924
"ERGIC1",0.618329428466933
"ARHGAP10",0.618157808664663
"PSTPIP2",0.618030699930891
"PIM3",0.618022876236698
"RPL39",0.617642135916143
"UBE2D3",0.617632949269173
"CTDNEP1",0.617575728335647
"RRP15",0.617378079087358
"NIBAN1",0.617221096750379
"DDX3X",0.617161816967612
"ACADVL",0.61682559370364
"SLK",0.616502522931016
"THBS1",0.61641006377327
"CAV1",0.616297242860256
"DHODH",0.616094457423863
"RPS26",0.615912987701431
"NEURL2",0.615624964898736
"SLC39A1",0.615543511675891
"LRRFIP1",0.615240541173488
"TBRG4",0.615155526888112
"ISM1",0.615085203022072
"GTF2IRD2",0.614739724888505
"SLC43A1",0.614675161803864
"CLEC14A",0.614636383715737
"DNPEP",0.613714431635368
"HYAL1",0.613584497277421
"MMADHC",0.612907110939076
"SLC2A4RG",0.612709561836728
"AK2",0.612493413120182
"CES1",0.612149311049926
"EIF4B",0.612147863569222
"LAMB1",0.612037099163028
"MAPK14",0.611985117332075
"ITGA9",0.611879720049465
"DRG2",0.611740971309379
"PML",0.611676851302118
"EIF4EBP2",0.61109111113682
"NOL10",0.610973647088156
"RIPK1",0.610613304041472
"SNRPB",0.610533415477883
"HYAL2",0.610500041623143
"COL6A2",0.61048538358303
"TFPI",0.610418632316201
"ST3GAL1",0.609832848225012
"TGFBR2",0.609779545901322
"C1orf174",0.609450824707688
"IRS1",0.609219977594292
"ACKR3",0.60916035325631
"NHLRC2",0.609159515878856
"SUCLG2",0.609107083227622
"TNXB",0.609074753003452
"EHD2",0.608953589171281
"USP19",0.608805309679835
"RBMS3",0.608787565938271
"ATF7",0.608785469466126
"KLF4",0.608785469466126
"ASCC2",0.608714453232381
"MED12",0.608301905097558
"PREB",0.60829571686798
"PCOLCE",0.608127593125804
"NCK1",0.608055540093444
"COL15A1",0.608018834105345
"AVEN",0.607346193751534
"MAP2K3",0.607267246627871
"PLIN4",0.607229502998019
"EIF4A1",0.606882991469046
"DDI2",0.606728372749557
"STIMATE",0.606553439048828
"RARS2",0.606427445409574
"SLC16A7",0.606303345326362
"SNX33",0.60604314411337
"RDH14",0.605823284223993
"LIMS2",0.60556717796745
"THOC6",0.605548883715877
"RECK",0.605112687081092
"ALS2CL",0.605088043992312
"STYX",0.60504212293341
"MOB3C",0.605039395567455
"XG",0.604987583530424
"NOP14",0.604837742676814
"LTBP4",0.604640009752331
"HSPB7",0.604534975887956
"CEBPD",0.60427976189142
"POLR3E",0.604203699952614
"WDR46",0.604155166458831
"DVL3",0.604036037604833
"RUFY1",0.604035075187769
"COL4A2",0.60391951403051
"SPNS1",0.60324247279876
"HTRA3",0.603108262237071
"BYSL",0.60282105543404
"ASB9",0.60273672497895
"COLGALT1",0.602719001296133
"EEA1",0.602412558685032
"ERN1",0.602334690770459
"ACACB",0.602219244472213
"MRC1",0.602137882030461
"RBMS1",0.602017541833927
"AFF1",0.601796697627815
"MAP7D3",0.6017871313456
"FBXO38",0.601734409532046
"MAP3K14",0.601600456979745
"DMAC2",0.601518208897857
"KLF6",0.601493845100379
"MAFB",0.601417085478617
"STN1",0.601306572728975
"E2F4",0.600638907135505
"ADAM15",0.600427518409861
"PARD3",0.600417918663191
"GKN1",0.600321835572906
"DES",0.600139313201024
"ITGBL1",0.599980784186221
"POLM",0.599774171518227
"ACOT9",0.599716575314305
"GIMAP8",0.599298619215055
"LAMC1",0.599005760713136
"CDC37",0.599000875693427
"MKNK2",0.598530167451686
"TPT1",0.598333314185193
"JUP",0.59828528229034
"RBM28",0.598159804659101
"YARS2",0.597770212844516
"SUPT6H",0.597669950245338
"TRMT2B",0.59761224163871
"LAMA2",0.597415077804832
"TNFSF14",0.597229935927683
"RPL27",0.597050788149148
"ADCY4",0.596721568376898
"SVEP1",0.596564977868372
"EIF3E",0.596315974601362
"DPM1",0.596310895818621
"MEOX2",0.596132133680402
"FILIP1L",0.59609012718672
"STAT5A",0.595907197425996
"ASXL1",0.595844850501339
"NCOA3",0.595618439240767
"EEF1D",0.595537747133323
"SRF",0.595470277107744
"TMBIM1",0.595163209124888
"AAAS",0.595132850348203
"IER2",0.594682890176356
"ITGB1",0.594490762596944
"ADGRL4",0.594345973410168
"FURIN",0.594202571227825
"SIX5",0.594183072218399
"EXOC3L1",0.593927525209917
"EIF1AX",0.593894867009562
"GNL2",0.593697464972824
"ENG",0.593674220384441
"TCIM",0.593386029015322
"NAA50",0.592607731197917
"RIN3",0.59212012165797
